Province,District,Palika,Category,Status,Rows_Added,Started_Date,Completed_Date,Notes
Bagmati,Sindhupalchok,Indrawati Rural Municipality,Disaster & Rescue,Completed,2,2026-07-14,2026-07-14,Official local disaster management branch and national NEOC source checked.
Bagmati,Sindhupalchok,Indrawati Rural Municipality,Travel & Tourism,Completed,1,2026-07-14,2026-07-14,Official Nepal Police Tourist Police source checked.
Bagmati,Sindhupalchok,Indrawati Rural Municipality,Information & Inquiry,Completed,1,2026-07-14,2026-07-14,Official municipal information officer contact checked.
Bagmati,Sindhupalchok,Indrawati Rural Municipality,Ward Offices,Completed,12,2026-07-14,2026-07-14,Official municipality officials page provides current ward chair contacts for wards 1 through 12.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Emergency Services,Completed,1,2026-07-14,2026-07-14,Official police emergency hotline checked from Nepal Police page.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Police & Security,Completed,2,2026-07-14,2026-07-14,Official DAO Sindhupalchok and traffic police helpline checked; local police station phone was not cleanly surfaced on the official Helambu pages in this pass.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Health & Ambulance,Completed,13,2026-07-14,2026-07-14,"Official health branch page provides branch staff, ambulance drivers, and facility-level contacts for multiple health posts and community health units."
Bagmati,Sindhupalchok,Helambu Rural Municipality,Hospitals,Completed,1,2026-07-14,2026-07-15,"Added Helambu Hospital, Kiul using the official Ward 2 page plus the official health branch facility contact list. Because the municipality did not publish a separate hospital switchboard, the official Kiul facility contact is retained as a medium-confidence hospital-reach number."
Bagmati,Sindhupalchok,Helambu Rural Municipality,Women & Children,Completed,2,2026-07-14,2026-07-14,Official national women and child helplines checked.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Government Services,Completed,3,2026-07-14,2026-07-14,"Official contact page, officials page, and staff directory checked."
Bagmati,Sindhupalchok,Helambu Rural Municipality,Government Complaints,Completed,2,2026-07-14,2026-07-14,Official judicial committee contact and national grievance portal checked.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Electricity & Utilities,Completed,1,2026-07-14,2026-07-14,Official NEA Sindhupalchowk distribution center source checked.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Disaster & Rescue,Completed,2,2026-07-14,2026-07-14,Official local disaster focal person and national NEOC source checked.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Travel & Tourism,Completed,1,2026-07-14,2026-07-14,Official Nepal Police Tourist Police source checked.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Information & Inquiry,Completed,1,2026-07-14,2026-07-14,Official municipal information officer contact checked.
Bagmati,Sindhupalchok,Helambu Rural Municipality,Ward Offices,Completed,7,2026-07-14,2026-07-14,Official municipality officials page provides ward chair contacts for wards 1 through 7.
Bagmati,Sindhupalchok,Jugal Rural Municipality,Emergency Services,Completed,1,2026-07-14,2026-07-14,Official police emergency hotline checked from Nepal Police page.
Bagmati,Sindhupalchok,Jugal Rural Municipality,Police & Security,Completed,2,2026-07-14,2026-07-14,Official DAO Sindhupalchok and traffic police helpline checked; local police station phone was not clearly surfaced in this pass.
Bagmati,Sindhupalchok,Jugal Rural Municipality,Health & Ambulance,Completed,9,2026-07-14,2026-07-14,"Official staff directory provides current health branch, health post, and community health unit contacts."
Bagmati,Sindhupalchok,Jugal Rural Municipality,Hospitals,Needs Review,0,2026-07-14,2026-07-14,"Official pages expose several health facility contacts, but a clean dedicated public hospital main phone was not clearly published in the checked official pages."
Bagmati,Sindhupalchok,Jugal Rural Municipality,Women & Children,Completed,2,2026-07-14,2026-07-14,Official national women and child helplines checked.
Bagmati,Sindhupalchok,Jugal Rural Municipality,Government Services,Completed,4,2026-07-14,2026-07-14,"Official contact page, officials page, and staff directory checked."
Bagmati,Sindhupalchok,Jugal Rural Municipality,Government Complaints,Completed,3,2026-07-14,2026-07-14,"Official information officer, legal facilitator, and national grievance portal checked."
Bagmati,Sindhupalchok,Jugal Rural Municipality,Electricity & Utilities,Completed,1,2026-07-14,2026-07-14,Official NEA Sindhupalchowk distribution center source checked.
Bagmati,Sindhupalchok,Jugal Rural Municipality,Disaster & Rescue,Completed,1,2026-07-14,2026-07-14,Official national NEOC source checked; a distinct current local disaster contact was not clearly published in the checked official pages.
Bagmati,Sindhupalchok,Jugal Rural Municipality,Travel & Tourism,Completed,1,2026-07-14,2026-07-14,Official Nepal Police Tourist Police source checked.
Bagmati,Sindhupalchok,Jugal Rural Municipality,Information & Inquiry,Completed,1,2026-07-14,2026-07-14,Official municipal information technology contact checked.
Bagmati,Sindhupalchok,Jugal Rural Municipality,Ward Offices,Completed,7,2026-07-14,2026-07-14,Official municipality officials page provides ward chair contacts for wards 1 through 7.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Emergency Services,Completed,2,2026-07-14,2026-07-14,Official national emergency and police emergency hotlines checked.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Police & Security,Completed,2,2026-07-14,2026-07-14,Official DAO Sindhupalchok and traffic police sources checked.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Health & Ambulance,Completed,2,2026-07-14,2026-07-14,Official health section contacts checked; a dedicated ambulance phone was not clearly published on the checked official pages.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Hospitals,Completed,6,2026-07-14,2026-07-14,Official Panchpokhari Primary Hospital staff contacts checked from the municipal staff directory.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Women & Children,Completed,3,2026-07-14,2026-07-14,Official municipal women and children branch plus national women and child helplines checked.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Government Services,Completed,8,2026-07-14,2026-07-14,"Official contact page, officials page, and staff directory checked."
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Government Complaints,Completed,3,2026-07-14,2026-07-14,"Official information officer, legal facilitator, and national grievance portal checked."
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Electricity & Utilities,Completed,1,2026-07-14,2026-07-14,Official NEA Sindhupalchowk distribution center source checked.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Disaster & Rescue,Completed,1,2026-07-14,2026-07-14,Official NEOC source checked.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Travel & Tourism,Completed,1,2026-07-14,2026-07-14,Official Nepal Police Tourist Police source checked.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Information & Inquiry,Completed,2,2026-07-14,2026-07-14,Official IT branch and information center contacts checked.
Bagmati,Sindhupalchok,Panchpokhari Thangpal Rural Municipality,Ward Offices,Completed,14,2026-07-14,2026-07-14,Official ward office pages and staff directory provide ward office and ward secretary contacts.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Emergency Services,Completed,2,2026-07-14,2026-07-14,Official national emergency and police emergency hotlines checked.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Police & Security,Completed,2,2026-07-14,2026-07-14,Official DAO Sindhupalchok and traffic police sources checked; a distinct local police station number was not clearly published on the checked Balephi official pages.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Health & Ambulance,Completed,8,2026-07-14,2026-07-14,Official health branch and health institution contacts checked; a dedicated ambulance phone was not clearly published on the checked official pages.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Hospitals,Completed,2,2026-07-14,2026-07-14,Official primary health centre contacts checked from the municipal staff directory.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Women & Children,Completed,4,2026-07-14,2026-07-14,"Official psychosocial counselling, child welfare, and national women and child helplines checked."
Bagmati,Sindhupalchok,Balephi Rural Municipality,Government Services,Completed,8,2026-07-14,2026-07-14,"Official website, officials page, and staff directory checked."
Bagmati,Sindhupalchok,Balephi Rural Municipality,Government Complaints,Completed,3,2026-07-14,2026-07-14,"Official grievance officer, judicial facilitator, and national grievance portal checked."
Bagmati,Sindhupalchok,Balephi Rural Municipality,Electricity & Utilities,Completed,1,2026-07-14,2026-07-14,Official NEA Sindhupalchowk distribution center source checked.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Disaster & Rescue,Completed,1,2026-07-14,2026-07-14,Official NEOC source checked; a distinct local disaster response number was not clearly published on the checked Balephi official pages.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Travel & Tourism,Completed,1,2026-07-14,2026-07-14,Official Nepal Police Tourist Police source checked.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Information & Inquiry,Completed,1,2026-07-14,2026-07-14,Official information technology branch contact checked.
Bagmati,Sindhupalchok,Balephi Rural Municipality,Ward Offices,Completed,16,2026-07-14,2026-07-14,Official municipality officials page and staff directory provide ward chair and ward secretary contacts for wards 1 through 8.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Emergency Services,Completed,2,2026-07-14,2026-07-14,Official Nepal Police and Ministry of Home Affairs emergency sources checked.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Police & Security,Completed,2,2026-07-14,2026-07-14,Official DAO Sindhupalchok and traffic police sources checked; a distinct local police station number was not clearly published on the checked Sunkoshi official pages.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Health & Ambulance,Completed,2,2026-07-14,2026-07-14,Official municipal staff directory provides health branch contacts; a dedicated ambulance number was not clearly published on the checked official pages in this pass.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Hospitals,Completed,1,2026-07-14,2026-07-15,"Official municipality sources were rechecked. The municipal basic hospital is confirmed by the official hospital operating procedure, but a distinct hospital main phone was not clearly published on the checked official pages. Added one official hospital row using the public health-branch reach numbers and marked it Needs Review with Medium confidence."
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Women & Children,Completed,4,2026-07-14,2026-07-14,Official national women and child helplines and official municipal psychosocial and nutrition contacts checked.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Government Services,Completed,11,2026-07-14,2026-07-14,"Official contact page, officials page, and staff directory checked for public-facing municipal service contacts."
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Government Complaints,Completed,4,2026-07-14,2026-07-14,"Official municipal grievance and problem-registration pages, judicial committee contact, and national Hello Sarkar portal checked."
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Electricity & Utilities,Completed,1,2026-07-14,2026-07-14,Official NEA Sindhupalchowk distribution center source checked; a distinct official public water utility contact was not clearly surfaced in this pass.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Disaster & Rescue,Completed,1,2026-07-14,2026-07-14,Official NEOC source checked; a distinct local municipal disaster focal phone was not clearly published on the checked official pages.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Travel & Tourism,Completed,1,2026-07-14,2026-07-14,Official Nepal Police Tourist Police source checked.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Information & Inquiry,Completed,2,2026-07-14,2026-07-14,Official information officer and information technology officer contacts checked from the staff directory.
Bagmati,Sindhupalchok,Sunkoshi Rural Municipality,Ward Offices,Completed,14,2026-07-14,2026-07-14,Official municipality officials page and staff directory provide ward chair and ward secretary contacts for wards 1 through 7.
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Emergency Services,Completed,2,2026-07-15,2026-07-15,Official Nepal Police and Ministry of Home Affairs emergency sources checked.
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Police & Security,Completed,3,2026-07-15,2026-07-15,"Official municipality police post page, DAO Sindhupalchok, and traffic police sources checked."
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Health & Ambulance,Completed,3,2026-07-15,2026-07-15,Official municipal staff directory and municipal profile checked; no dedicated ambulance number was clearly published on checked official pages.
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Hospitals,Completed,0,2026-07-15,2026-07-15,The official municipal profile states there is no hospital within Tripurasundari Rural Municipality.
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Women & Children,Completed,4,2026-07-15,2026-07-15,Official national women and child helplines and official municipal psychosocial and nutrition contacts checked.
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Government Services,Completed,11,2026-07-15,2026-07-15,"Official contact page, officials page, homepage, and staff directory checked for public-facing municipal service contacts."
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Government Complaints,Completed,4,2026-07-15,2026-07-15,"Official municipal grievance and problem-registration pages, judicial facilitation contact, and national Hello Sarkar portal checked."
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Electricity & Utilities,Completed,1,2026-07-15,2026-07-16,Official NEA current contact-information page verified the Sindhupalchok Distribution Center contact serving Tripurasundari. No distinct public water-utility contact was found.
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Disaster & Rescue,Completed,1,2026-07-15,2026-07-15,Official Ministry of Home Affairs NEOC office page checked.
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Travel & Tourism,Completed,1,2026-07-15,2026-07-15,Official Nepal Police Tourist Police source checked.
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Information & Inquiry,Completed,3,2026-07-15,2026-07-15,"Official information officer, IT officer, and spokesperson contacts checked; information officer number conflict between staff and contact pages noted in row notes."
Bagmati,Sindhupalchok,Tripurasundari Rural Municipality,Ward Offices,Completed,11,2026-07-15,2026-07-15,"Official ward pages provide contact numbers for all 6 wards; the checked staff directory page publishes 5 ward secretary contacts, but ward-to-secretary mapping is not explicit for all entries."
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Ward Offices,Completed,19,2026-07-16,2026-07-16,Official municipal ward index and all 19 ward pages checked. Each ward page publishes a direct Ward Contact Number.
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Hospitals,Needs Review,8,2026-07-16,2026-07-17,"Expanded with the current official Nepal Police emergency directory: Makwanpur Cooperative Hospital, Churehill Hetauda Hospital, New Tribeni Polyclinic Hospital, and Prime International Polyclinic. Hetauda Community Eye Hospital was added from an older official municipal page and remains Needs Review. Broader private-facility coverage remains to be collected. Superseded/rechecked during 2026-07-26 hospital verification pass."
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Police & Security,Completed,12,2026-07-16,2026-07-16,"Official Bagmati Province Nepal Police directory checked. Added district office, control room, women cell, crime investigation, traffic police, Ward Police Office Hetauda, and Hetauda-area police posts with published public contacts."
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Electricity & Utilities,Completed,7,2026-07-16,2026-07-16,"Current official NEA and Hetauda Water Supply Management Board sources checked. Added distribution, local no-light, water-maintenance, billing, and general water-board contacts."
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Health & Ambulance,Completed,12,2026-07-16,2026-07-16,"Official Nepal Police emergency directory adds an ambulance roster for Hetauda: Padam Pokhari Health Post, NRCS, Hetauda Cement, two Narayani transport groups, Rural Health, Moktan Samaj, and Harnamadi Health Post. It also independently confirms Hetauda Hospital ambulance contacts. Red Cross support contacts remain included."
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Emergency Services,Completed,2,2026-07-16,2026-07-16,Official Bagmati Province Nepal Police emergency directory checked. Added the local fire-brigade office and driver contacts plus Hetauda Red Cross blood-service contact. National emergency codes are maintained centrally and not duplicated locally.
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Government Services,Completed,15,2026-07-16,2026-07-16,"Current official Makwanpur DAO directory checked. Added 15 citizen-facing public service offices including administration, revenue, business, land, election, transport, labour, roads, public health, health insurance, postal, and municipal administration services."
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Government Complaints,Completed,2,2026-07-16,2026-07-16,Official municipal and DAO grievance sources checked. Added the DAO's anonymous online grievance route and its current Information/Complaint Officer contact. No separate public municipal complaint line was exposed in this pass.
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Women & Children,Completed,3,2026-07-17,2026-07-17,"Official municipal, provincial, police, and hospital sources checked. Added Hetauda Hospital paediatric service, the provincial Social Development Office women-empowerment support contact, and the municipal Women, Children and Inclusion Division head. National women and child helplines are maintained centrally."
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Disaster & Rescue,Completed,5,2026-07-17,2026-07-17,"Current official municipal, DAO, Nepal Police, and emergency-directory sources checked. Added municipal disaster management, police control-room, armed police, field-ambulance, and disaster-recovery contacts."
Bagmati,Makwanpur,Thaha Municipality,Ward Offices,Completed,12,2026-07-17,2026-07-17,Official ward profiles and current ward-officials directory checked. Added a public role-linked contact for every ward. Ward 3 and Ward 12 need direct reconfirmation because the available official detail is older or internally inconsistent.
Bagmati,Makwanpur,Hetauda Sub-Metropolitan City,Travel & Tourism,Completed,0,2026-07-17,2026-07-17,Official Nepal Tourist Police and Department of Tourism sources checked. No dedicated Tourist Police post or separately published local tourism-support phone was found for Hetauda. The national Tourist Police hotline 1144 is already maintained centrally and was not duplicated locally.
Bagmati,Makwanpur,Thaha Municipality,Emergency Services,Completed,1,2026-07-17,2026-07-17,Official Bagmati Province Police emergency directory checked; added the locally listed fire-brigade contact.
Bagmati,Makwanpur,Thaha Municipality,Police & Security,Completed,2,2026-07-17,2026-07-17,Official Bagmati Province Police subordinate-office directory checked; added the local Area Police Office and Police Post contacts.
Bagmati,Makwanpur,Thaha Municipality,Health & Ambulance,Completed,7,2026-07-17,2026-07-17,Official Bagmati Province Police emergency directory checked; added every explicitly Thaha-labelled ambulance operator found.
Bagmati,Makwanpur,Thaha Municipality,Hospitals,Completed,7,2026-07-17,2026-07-30,"Completed 2026-07-30 after municipal and provincial facility searches. Seven public phone-bearing hospital/health-facility records are included; the municipal primary-health-centre source directly confirms Palung PHC and emergency contacts. Daman Health Post is known from the provincial facility register but has no public phone found, so it was not added."
Bagmati,Makwanpur,Thaha Municipality,Women & Children,Completed,1,2026-07-17,2026-07-17,Official municipal staff directory checked; added the publicly listed service-branch contact.
Bagmati,Makwanpur,Thaha Municipality,Information & Inquiry,Completed,1,2026-07-17,2026-07-17,Official municipal staff directory checked; added the Information Officer contact.
Bagmati,Makwanpur,Thaha Municipality,Government Services,Completed,1,2026-07-17,2026-07-17,Official municipal staff directory checked; added the Health Branch coordinator contact.
Bagmati,Makwanpur,Thaha Municipality,Police & Security,Completed,8,2026-07-17,2026-07-17,Supplemented the official Nepal Police office contacts with every municipal-police role contact published in the current municipal staff directory.
Bagmati,Makwanpur,Thaha Municipality,Electricity & Utilities,Completed,3,2026-07-17,2026-07-17,"Current official NEA Palung Distribution Center page checked; added the centre and the explicitly Thaha-local Palung and Bajrabarahi no-light contacts. Water-supply enquiries are already represented by the municipal Information, Water Supply and Tourism Branch contact."
Bagmati,Makwanpur,Thaha Municipality,Government Complaints,Completed,1,2026-07-17,2026-07-17,Official municipal contact page checked; it supplies public contact numbers alongside an online feedback form that explicitly includes complaints.
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Health & Ambulance,Needs Review,4,2026-07-17,2026-07-26,Official municipal staff and emergency-notice sources checked. One current Health Branch contact is verified; the published ambulance and two staff-nurse contacts are COVID-era and require reconfirmation before being treated as active emergency services. Superseded by the completed 2026-07-26 Health & Ambulance pass.
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Ward Offices,Needs Review,8,2026-07-17,,"The current official ward-office index and all eight linked ward profiles were checked. Each profile publishes a ward-chair contact, but they originated in 2018 and need current municipal confirmation before this category can be completed."
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Police & Security,Completed,3,2026-07-17,2026-07-17,Official Bagmati Province Police subordinate-office directory and current municipal-police staff directory checked; added the Area Police Office and every currently listed municipal-police contact.
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Health & Ambulance,Needs Review,2,2026-07-17,2026-07-26,"Added two local ambulance listings from the official Bagmati Province Police emergency directory. One primary number conflicts with an older ward profile, and all local ambulance operations need direct current confirmation. Superseded by the completed 2026-07-26 Health & Ambulance pass."
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Government Services,Completed,4,2026-07-17,2026-07-26,"Official current-staff and officeholder profiles checked; added executive, administration, health, and agriculture service contacts. Additional government branches still need review. Expanded/normalized during official staff and representatives pass on 2026-07-26."
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Women & Children,Completed,1,2026-07-19,2026-07-19,Current official municipal staff directory checked; added the dedicated Women and Children Development contact. Expanded/normalized during official staff and representatives pass on 2026-07-26.
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Disaster & Rescue,Needs Review,1,2026-07-19,,"Official municipal profile identifies a Disaster Management branch contact, but the individual profile needs current confirmation."
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Electricity & Utilities,Completed,1,2026-07-19,2026-07-19,Current official NEA no-light directory checked; added the explicitly Aambhanjyang-local electricity fault contact. No separately published local water-service phone was found. Superseded by expanded official utility pass on 2026-07-26.
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Government Complaints,Completed,1,2026-07-19,2026-07-19,Current official municipal staff directory checked; added the Local Justice Facilitator contact for legal and grievance support.
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Government Services,Completed,6,2026-07-19,2026-07-19,"Expanded the current official staff-directory coverage across animal/fisheries, finance, education, social security/civil registration, revenue/planning, and employment. Together with the earlier executive, administration, health, and agriculture entries, this covers the main published municipal branches. Expanded/normalized during official staff and representatives pass on 2026-07-26."
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Information & Inquiry,Completed,1,2026-07-19,2026-07-19,Current official municipal staff directory checked; added the Information and Technology Branch public contact. The Health Branch Information Officer is already recorded under Health & Ambulance and was not duplicated. Expanded/normalized during official staff and representatives pass on 2026-07-26.
Bagmati,Makwanpur,Makawanpurgadhi Rural Municipality,Hospitals,Completed,8,2026-07-19,2026-07-26,"Official profiles for all eight wards were checked and each names a health-facility lead with a phone number. The profiles were originally published in 2018, requiring operational reconfirmation before this category can be completed. Current official search on 2026-07-26 did not find cleaner direct facility numbers; keep row-level Needs Review for historic ward-profile contacts. Superseded by 2026-07-26 permanent health-institution SIM/contact notice pass."
Bagmati,Makwanpur,Bakaiya Rural Municipality,Ward Offices,Completed,12,2026-07-19,2026-07-19,Current official staff directory checked; added the publicly listed Ward Secretary contact for all twelve wards.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Government Services,Completed,6,2026-07-19,2026-07-19,"Current official staff directory checked; added the core published administration, planning, finance, education, agriculture, and employment contacts."
Bagmati,Makwanpur,Bakaiya Rural Municipality,Information & Inquiry,Completed,1,2026-07-19,2026-07-19,Current official staff directory checked; added the public Information Officer contact.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Women & Children,Completed,1,2026-07-19,2026-07-19,Current official staff directory checked; added the municipal Women Development service contact.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Health & Ambulance,Completed,1,2026-07-19,2026-07-26,Current official staff directory checked; added the municipal Health Coordinator. Facility and ambulance contacts remain to be collected. Superseded/rechecked during 2026-07-26 batch pass.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Hospitals,Completed,4,2026-07-19,2026-07-26,Official Bagmati Province Police emergency directory checked; added four publicly listed health-facility contacts in Bakaiya localities. Confirm present operating status with facility or municipality before marking complete. Superseded/rechecked during 2026-07-26 batch pass.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Health & Ambulance,Completed,2,2026-07-19,2026-07-26,Official Bagmati Province Police emergency directory checked; added both explicitly listed Bakaiya ambulance operators. Reconfirm operational availability before category completion. Superseded/rechecked during 2026-07-26 batch pass.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Police & Security,Completed,2,2026-07-19,2026-07-26,"Official police subordinate-office directory checked; added Thingan Area Police Office and Hattisunde Police Post. The source names localities rather than current Palika/ward, so the locality mapping needs review. Superseded/rechecked during 2026-07-26 batch pass."
Bagmati,Makwanpur,Bakaiya Rural Municipality,Electricity & Utilities,Completed,1,2026-07-19,2026-07-26,Current official NEA no-light directory checked; added Chhatiwan outage contact. A current local water-service telephone contact was not found. Superseded/rechecked during 2026-07-26 batch pass.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Government Services,Completed,12,2026-07-19,2026-07-19,"Expanded the current official municipal staff-directory coverage across social development, infrastructure/environment, audit, ICT, technical, animal, employment, education, micro-enterprise, and agriculture services."
Bagmati,Makwanpur,Bakaiya Rural Municipality,Emergency Services,Completed,2,2026-07-19,2026-07-19,Official MoHA and Nepal Police emergency sources checked; added national emergency coordination 1112 and Police Control 100 coverage.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Disaster & Rescue,Completed,1,2026-07-19,2026-07-19,Official MoHA NEOC page checked; added national disaster-response coordination hotline 1149. No separate Bakaiya disaster-desk phone was published in the sources checked.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Government Complaints,Completed,1,2026-07-19,2026-07-19,Official municipal contact page checked; it explicitly offers a complaint submission option and publishes municipal contact details.
Bagmati,Makwanpur,Bakaiya Rural Municipality,Travel & Tourism,Completed,2,2026-07-19,2026-07-19,Official provincial and national tourism sources checked; added Bagmati tourism information and Nepal Tourism Board tourism-crisis support. No dedicated Bakaiya tourism office phone was located.
Bagmati,Makwanpur,Bagmati Rural Municipality,Government Services,Completed,8,2026-07-19,2026-07-26,"Current official staff directory checked; added core administration, animal development, infrastructure, employment, audit, and agriculture contacts. Additional published branches remain. Superseded/rechecked during 2026-07-26 batch pass."
Bagmati,Makwanpur,Bagmati Rural Municipality,Health & Ambulance,Completed,2,2026-07-19,2026-07-26,Current official staff directory checked; added two Health Branch contacts. Facility and ambulance contacts remain to be collected. Superseded/rechecked during 2026-07-26 batch pass.
Bagmati,Makwanpur,Bagmati Rural Municipality,Information & Inquiry,Completed,1,2026-07-19,2026-07-19,Current official staff directory checked; added the published Information Officer contact.
Bagmati,Makwanpur,Bagmati Rural Municipality,Government Complaints,Completed,2,2026-07-19,2026-07-19,Current official staff directory checked; added the Grievance Hearing Officer and Judicial Facilitator contacts.
Bagmati,Makwanpur,Bagmati Rural Municipality,Women & Children,Completed,1,2026-07-19,2026-07-19,Current official staff directory checked; added the public psychosocial-support contact in Social Development.
Bagmati,Makwanpur,Bagmati Rural Municipality,Ward Offices,In Progress,1,2026-07-19,2026-07-26,Official Ward 1 page checked; added its office contact. Wards 2-9 remain to be collected. Superseded/rechecked during 2026-07-26 batch pass.
Bagmati,Makwanpur,Bagmati Rural Municipality,Health & Ambulance,Completed,3,2026-07-19,2026-07-26,Official Bagmati Province Police emergency directory checked; added all three explicitly Bagmati-linked ambulance operators. Reconfirm operational availability before completion. Superseded/rechecked during 2026-07-26 batch pass.
Bagmati,Makwanpur,Bagmati Rural Municipality,Electricity & Utilities,Completed,1,2026-07-19,2026-07-26,Current official NEA no-light directory checked; added Phaparbari outage contact. A current local water-service telephone contact was not found. Superseded/rechecked during 2026-07-26 batch pass.
Bagmati,Makwanpur,Bagmati Rural Municipality,Ward Offices,Needs Review,8,2026-07-19,2026-07-26,"Official Ward 2-9 pages checked; added publicly listed secretary and chairperson contacts for every ward. The pages were originally published in 2022, requiring a current municipal cross-check before category completion. Superseded/rechecked during 2026-07-26 batch pass."
Bagmati,Makwanpur,Bagmati Rural Municipality,Police & Security,Completed,2,2026-07-19,2026-07-19,Current official police office directory checked; added Phaparbari Area Police Office and Jhurjhure Police Post.
Bagmati,Makwanpur,Bagmati Rural Municipality,Emergency Services,Completed,2,2026-07-19,2026-07-19,Official MoHA and Bagmati Province Police emergency pages checked; added 1112 emergency coordination and Police Control 100 coverage.
Bagmati,Makwanpur,Bagmati Rural Municipality,Disaster & Rescue,Completed,1,2026-07-19,2026-07-19,Official MoHA NEOC page checked; added disaster-response coordination hotline 1149. No separate municipal disaster-desk phone was published in the sources checked.
Bagmati,Makwanpur,Bagmati Rural Municipality,Travel & Tourism,Completed,3,2026-07-19,2026-07-19,"Official provincial and national tourism sources checked; added Bagmati tourism information, Tourism Crisis Unit, and Tourist Police coverage. No dedicated municipal tourism office phone was located."
